"quantile","b0sys","ba1sys","ba2sys","ba3sys","ba4sys","b1sys","b2sys","b3sys","b4sys","bb1sys","bb2sys","bb3sys","bb4sys"
0.15,39.9509,-1.0185,1.6189,-11.6485,31.009,0.4284,-0.0032,0.0051,-0.0452,-0.0101,0.3516,-0.5073,0.1906
0.16,40.8576,-0.9313,1.5386,-11.5031,31.8413,0.418,-0.0029,0.0019,-0.0291,-0.0081,0.3507,-0.5094,0.1968
0.17,42.1455,-0.9104,1.5356,-11.4411,31.5567,0.4098,-0.0029,0.0038,-0.0368,-0.006,0.2848,-0.4155,0.1642
0.18,44.0009,-1.0103,1.6565,-11.8711,31.8672,0.4038,-0.0026,7e-04,-0.0172,-0.0017,0.1877,-0.2802,0.1211
0.19,42.9483,-0.9479,1.6532,-12.4439,34.3937,0.4097,-0.0029,0.0023,-0.0231,-3e-04,0.1892,-0.2761,0.1077
0.2,43.4489,-0.9355,1.5751,-11.4463,30.9525,0.4076,-0.0027,0,-0.0199,0.0013,0.1619,-0.2376,0.0949
0.21,42.0432,-0.9668,1.5892,-11.2769,29.6658,0.4235,-0.003,9e-04,-0.0194,0.0051,0.1181,-0.1781,0.0784
0.22,43.3921,-0.9251,1.5125,-10.669,27.8566,0.4122,-0.0025,-8e-04,-0.0269,-3e-04,0.178,-0.2571,0.0962
0.23,43.1823,-0.9153,1.5502,-11.2058,29.7148,0.4154,-0.0028,0.0025,-0.0386,0.0053,0.0679,-0.0977,0.0352
0.24,43.5111,-0.8427,1.4724,-10.8634,29.5168,0.4107,-0.0027,0.0019,-0.0416,-0.0023,0.1644,-0.2282,0.0711
0.25,44.8115,-0.9195,1.5496,-10.7815,27.8384,0.4087,-0.003,0.012,-0.0908,-0.0063,0.1451,-0.1957,0.053
0.26,45.1153,-0.8419,1.4685,-10.4821,27.7389,0.404,-0.003,0.0148,-0.1094,-0.0047,0.1524,-0.2131,0.0715
0.27,45.0184,-0.9109,1.4637,-9.8769,25.3956,0.4124,-0.0031,0.0163,-0.1196,-0.0095,0.2128,-0.3015,0.1084
0.28,46.8396,-0.9336,1.4913,-10.0409,25.5791,0.4004,-0.0025,0.0087,-0.0854,-0.0083,0.207,-0.2945,0.1065
0.29,46.3627,-1.0691,1.6403,-10.8997,27.3749,0.4156,-0.003,0.0128,-0.0892,-0.006,0.1891,-0.2783,0.1168
0.3,46.056,-1.0253,1.6174,-10.8914,27.6133,0.4169,-0.0032,0.0134,-0.0831,-0.0015,0.1168,-0.1751,0.0794
0.31,45.8707,-1.0687,1.6929,-11.5282,29.3823,0.4234,-0.0035,0.0189,-0.1052,-0.002,0.0549,-0.0766,0.0279
0.32,46.225,-1.0493,1.6305,-11.0002,28.295,0.4212,-0.0032,0.015,-0.0892,0.001,0.0192,-0.0279,0.014
0.33,49.7043,-1.1168,1.6687,-10.6909,26.5418,0.4005,-0.0027,0.0175,-0.1166,-0.0029,-0.0064,0.0124,-0.0056
0.34,52.501,-1.2283,1.7174,-10.288,24.6009,0.39,-0.0025,0.0229,-0.1413,-0.0055,-0.0773,0.1151,-0.0428
0.35,52.638,-1.2668,1.7982,-10.7251,24.8323,0.393,-0.0027,0.0233,-0.1352,-0.0037,-0.1218,0.1797,-0.0678
0.36,52.9451,-1.2987,1.8214,-10.8739,25.4383,0.3952,-0.0028,0.0249,-0.1365,-0.0026,-0.1753,0.2588,-0.1002
0.37,51.6977,-1.2275,1.7723,-10.6355,24.5465,0.4024,-0.0032,0.0273,-0.1377,0.0023,-0.2334,0.3428,-0.1327
0.38,51.5803,-1.1856,1.7323,-10.549,24.7169,0.4027,-0.0033,0.029,-0.1504,0.004,-0.2752,0.4081,-0.1658
0.39,52.5542,-1.1951,1.7357,-10.3953,23.5706,0.3978,-0.0032,0.0312,-0.1661,5e-04,-0.2249,0.34,-0.1482
0.4,54.7146,-1.2604,1.8028,-10.773,24.4075,0.3869,-0.0029,0.0332,-0.1862,-0.002,-0.2181,0.3306,-0.1449
0.41,56.735,-1.199,1.8011,-11.3328,26.8609,0.3684,-0.0025,0.0319,-0.1874,2e-04,-0.2443,0.3686,-0.1611
0.42,57.7385,-1.2515,1.8588,-11.3519,25.8098,0.3657,-0.0024,0.0287,-0.1704,-9e-04,-0.2306,0.3502,-0.1567
0.43,57.7098,-1.257,1.9037,-11.8077,27.0173,0.3677,-0.0024,0.0271,-0.1572,-0.0012,-0.1965,0.298,-0.1324
0.44,58.0736,-1.2363,1.9353,-12.317,28.6066,0.3643,-0.0024,0.0253,-0.1507,0.002,-0.178,0.2641,-0.1092
0.45,62.0223,-1.2128,1.9237,-12.157,27.903,0.3343,-0.0016,0.0242,-0.1555,-4e-04,-0.21,0.315,-0.136
0.46,62.1221,-1.1404,1.8555,-11.839,27.3698,0.3308,-0.0017,0.026,-0.1685,-0.0024,-0.1452,0.2208,-0.0993
0.47,62.7962,-1.113,1.8421,-11.7266,26.7715,0.3253,-0.0016,0.0282,-0.1884,-0.0019,-0.1808,0.2766,-0.1276
0.48,61.7073,-1.2183,1.9323,-12.0462,26.8742,0.3435,-0.0022,0.0321,-0.2009,-0.0018,-0.1943,0.2958,-0.1342
0.49,61.7636,-1.1885,1.9597,-12.4946,27.9124,0.342,-0.0022,0.0308,-0.1956,0.003,-0.234,0.3493,-0.149
0.5,63.7493,-1.2055,1.96,-12.5069,28.0089,0.3283,-0.0012,0.0195,-0.1595,-0.002,-0.1708,0.2634,-0.1258
0.51,62.2586,-1.077,1.8646,-12.2702,27.8184,0.3328,-0.0012,0.0137,-0.1292,-0.0024,-0.0705,0.1151,-0.0646
0.52,64.2911,-1.0805,1.8431,-11.8647,26.3816,0.3191,-7e-04,0.0088,-0.1057,-0.007,-0.0325,0.0621,-0.0471
0.53,68.9778,-1.2187,1.888,-11.2553,23.9127,0.294,3e-04,0.0053,-0.0991,-0.0123,-0.0668,0.1121,-0.0648
0.54,70.4806,-1.165,1.8218,-10.7395,22.4622,0.2801,9e-04,1e-04,-0.0853,-0.0136,-0.0702,0.1225,-0.0781
0.55,70.6109,-1.1182,1.8262,-11.2854,24.8046,0.2768,0.001,-7e-04,-0.084,-0.01,-0.1092,0.1806,-0.1041
0.56,69.8975,-1.1611,1.8731,-11.7046,26.3452,0.287,7e-04,0.0018,-0.0954,-0.0067,-0.1524,0.2386,-0.1185
0.57,69.191,-1.1401,1.9015,-12.217,27.9129,0.2928,3e-04,0.0055,-0.111,-0.0035,-0.2103,0.3262,-0.1586
0.58,69.9619,-1.1195,1.8816,-11.9235,26.817,0.2873,5e-04,0.0046,-0.1118,-0.0053,-0.1918,0.3015,-0.1525
0.59,68.3161,-1.0128,1.7759,-11.6001,26.6764,0.2951,3e-04,0.0028,-0.1008,-0.0022,-0.2321,0.3639,-0.1831
0.6,68.0555,-0.9162,1.6469,-10.7107,24.2868,0.2927,6e-04,-0.0014,-0.0813,-4e-04,-0.236,0.3707,-0.1882
0.61,65.6124,-0.7989,1.5036,-9.8072,21.9786,0.3055,4e-04,-0.0054,-0.0567,-0.0017,-0.1403,0.2328,-0.1369
0.62,65.1636,-0.7707,1.457,-9.5828,21.8374,0.3086,5e-04,-0.0086,-0.0391,-0.0024,-0.0941,0.1647,-0.109
0.63,66.6766,-0.913,1.5894,-9.8498,21.1477,0.3073,8e-04,-0.0116,-0.029,-0.0052,-0.0645,0.1189,-0.0865
0.64,65.4537,-0.895,1.5329,-9.3616,19.7235,0.3178,7e-04,-0.0136,-0.0176,-0.0044,-0.0173,0.0444,-0.0479
0.65,64.8596,-0.9404,1.6229,-9.8355,19.8054,0.3274,2e-04,-0.0077,-0.0396,-0.006,0.0077,0.0094,-0.0359
0.66,64.7808,-0.935,1.5826,-9.392,18.2771,0.3302,2e-04,-0.0082,-0.0324,-0.009,0.0629,-0.0712,-0.0032
0.67,65.5762,-0.9693,1.558,-8.833,16.6679,0.3289,3e-04,-0.009,-0.0304,-0.0092,0.0526,-0.0599,-0.0011
0.68,64.0451,-1.1203,1.7205,-9.4755,16.9051,0.3537,-7e-04,0.0019,-0.0701,-0.0041,-0.1202,0.1997,-0.1156
0.69,66.825,-1.1964,1.8333,-10.0226,17.9273,0.3397,-6e-04,0.0056,-0.0822,-0.0081,-0.1245,0.2047,-0.1138
0.7,65.6846,-1.2525,1.9018,-10.459,18.6882,0.3537,-9e-04,0.0036,-0.066,-0.0057,-0.113,0.1831,-0.0985
0.71,65.3052,-1.2617,1.9135,-10.5223,18.771,0.3604,-0.0013,0.0085,-0.0848,-0.0046,-0.1438,0.2265,-0.112
0.72,64.899,-1.2245,1.8584,-10.1192,17.7416,0.3641,-0.0016,0.0138,-0.1073,-0.0048,-0.1372,0.2161,-0.1063
0.73,65.3578,-1.2248,1.8289,-9.7674,16.8046,0.3627,-0.0014,0.0124,-0.1066,-0.0057,-0.1576,0.2502,-0.1263
0.74,64.5514,-1.1783,1.7442,-9.4075,16.9106,0.3687,-0.0013,0.0091,-0.0924,-0.0076,-0.0787,0.1365,-0.0847
0.75,66.0885,-1.1878,1.7936,-9.5264,16.3425,0.3605,-0.0016,0.0179,-0.1274,-0.0072,-0.185,0.2994,-0.1608
0.76,67.302,-1.1912,1.725,-8.4639,12.8607,0.3551,-0.0016,0.0212,-0.1358,-0.0076,-0.2055,0.3238,-0.1601
0.77,69.6151,-1.1726,1.7606,-8.9219,14.4437,0.3387,-0.0015,0.026,-0.1521,-0.0094,-0.1704,0.2659,-0.1257
0.78,70.5901,-1.2426,1.8162,-8.921,13.7988,0.3388,-0.0016,0.0283,-0.1619,-0.016,-0.066,0.1157,-0.069
0.79,74.0399,-1.3696,1.9736,-9.9705,16.4081,0.322,-0.001,0.0261,-0.1607,-0.0211,0.054,-0.068,0.017
0.8,78.1837,-1.4118,1.9659,-9.2285,13.6521,0.2962,-4e-04,0.0279,-0.176,-0.0236,0.0265,-0.035,0.0171
0.81,77.8733,-1.5496,2.1217,-10.0164,15.085,0.3117,-0.0013,0.041,-0.234,-0.0167,-0.141,0.2059,-0.0717
0.82,78.6258,-1.5819,2.1292,-10.2662,16.5876,0.311,-0.0011,0.0374,-0.2191,-0.0181,-0.0881,0.1294,-0.044
